,날짜,리뷰,응답날짜,응답,별점,유저명,공감수
10,2022-03-30 17:48:38,통합 시설카드를 추가하려고 하면 시스템간의 연계 문제로 불가능하다는 메세지가 뜨면서 발급이 안 됩니다,2022-04-13 01:09:38,"안녕하세요. 서울시민카드입니다.
서비스 사용에 불편을 끼쳐드려 죄송합니다.
현재 일부 시설에서 연계오류로 인하여 사용이 불가한 상태입니다.
서울시민카드앱에서 상단 오른쪽 메뉴-고객센터-1:1 문의를 통해 해당시설 및 오류내용 기재해주시면 확인하여 답변 드리도록 하겠습니다.
감사합니다.",2,박동지,0
11,2022-04-01 14:06:00,"공공서비스 예약에서 프로그램 선택하면 튕기고 ""서울시민카드 앱에 버그가 있어 앱을 종로했습니다""라고 뜹니다. 마지막 업데이트가 제작년이던데..언제 예약할수 있죠?",2022-04-18 08:32:18,안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 앱 삭제 후 재설치 해보신 후 동일한 문제가 계속 발생 시 1:1문의 게시판(우측 상단 메뉴(≡) → 고객센터 → 1:1문의)을 통해 문의 주세요. 문의 주실때 시설명등 상세 정보를 기재해주시면 좀 더 빠르게 처리가 가능하십니다. 감사합니다.,3,Emma The,0
12,2020-02-21 16:07:05,별0개. 굉장히 짜증ㄴㅏ는앱이네요 계속실행해도 네트워크연결상태확인하라고만 뜨고 꺼지고 켜지지를 않습니다 ㅡㅡ 지웟다깔아도그라고..... 엘티이 와이파이다안됩니다,2020-04-17 05:16:49,안녕하세요. 서울시민카드 입니다. 정확한 확인을 위해 고객센터로 문의 부탁드립니다. 감사합니다.,1,양포포,9
13,2018-11-15 00:49:06,반납예정일이 대출연장시 적용된 날짜로 나오지 않습니다. 갱신된 날짜도 따로 표기될수 있도록 빠른 개선 바랍니다.,2018-11-27 02:44:25,"안녕하세요. 서울시민카드입니다.

우선 사용에 불편을 드려 죄송합니다. 반납예정일이 변경되는 경우 갱신된 날짜로 적용되도록 이용하시는 구립도서관에 확인하여 조치하도록 하겠습니다.

고맙습니다.",3,김재훈,0
14,2021-12-10 06:02:16,시설카드 발행 에러는 언제 해결 되는 걸까요?? 전화했더니 세 차례 전화를 자기 담당 아니라며 돌리더니 결국 자동응답기한테 돌리더군요. 전화 주겠다는데 전화는 안오고..,2022-02-10 08:11:51,안녕하세요. 서울시민카드 입니다. 보다 나은 서울시민카드가 될 수 있도록 하겠습니다. 감사합니다.,1,김한샘,9
15,2022-01-11 16:20:02,카드 발급하려는데 본인인증 문자가 안와요.. 지금까지 다른앱들로 잘만 해왔고 스팸메일에도 없고 카톡에도 없고 skt pass인증도 안되고 뭐... 답답하네요진짜...,2022-02-10 08:11:07,안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 해당 부분에 대해서는 현재 확인이 되지 않고 있습니다. 같은 문제가 계속 발생 시 본인인증 관련해서는 (주)나이스신용평가정보 고객센터 (1600-1522)로 문의 주시면 좀 더 빠르게 처리가 가능하십니다. 감사합니다.,1,jeahyun lee,5
16,2019-03-22 14:15:06,이거 하나 깔면 서울에 모든 시설을 이용할 수 없습니다 원하는 시설 하나하나 직접 가입해야되서 이거 있나 없으나 똑같으니까 혹시 이거 읽는분들 깔지마세요,2019-09-04 07:12:11,"안녕하세요. 서울시민카드입니다

우선 이용에 불편을 드려 죄송합니다.

서울시민카드는 도서관, 체육시설, 문화시설, 보육시설, 청소년 수련관 등의 회원 카드를 모바일 서울시민카드로 통합하여 사용하실 수 있도록 준비하고 있습니다. 현재는 각 시설의 운영환경(시설 이용을 위한 현장 자격 확인 등)을 고려하여 대부분의 시설이 이용중이신 카드를 서울시민카드에 등록하여 사용하실 수 있도록 제공하고 있습니다. 
향후 시설 가입에 대한 불편함을 해소하기 위해 다양한 방안을 준비하고 있습니다.

좀더 나은 서울시민카드가 되기 위해 지속적으로 노력하겠습니다.

리뷰 감사드립니다.",1,Google 사용자,9
17,2019-07-05 03:01:57,서울도서관 회원인데 카드 등록하려고 하니까 회원정보가 없다고 뜨네요. 혹시 몰라 도서관 앱 켜고 로그인 되어있는거 확인하고 다시 했는데도 마찬가지. 앱 내에 문의하는 곳이 없어서 여기에 남깁니다.,2019-09-06 00:43:27,"안녕하세요. 서울시민카드입니다.
2126-4672로 문의주시면 확인해보겠습니다. 
이용에 불편을 드려 죄송합니다.",2,kw h,1
18,2019-07-03 00:04:07,"앱 처음 실행시 알림창 일주일간 나오지 않도록 선택할수 있게 해주시고, 회원번호 바코드 위젯도 있었으면 좋겠습니다.",2019-09-04 07:16:04,"안녕하세요. 서울시민카드입니다.

리뷰 감사드립니다.",4,YongJung Park,11
19,2019-01-06 06:05:52,뭐 이런 쓰레기같은 앱이 다있는지.. 인증 앱 별도 깔아야하고 애써 깔아서 좀 써볼랬더니 각 업체별 홈피가서 별도 가입 다 해야하고.. 그것마져 유료 가입도 많고. 그래 뭔가 대단한 혜택 바란 내가 바보지. 이 앱 설계자 UX에 대한 개념 1도 없는 사람온가봄,2019-01-29 07:06:53,"안녕하세요. 서울시민카드입니다.
우선 사용에 불편을 드려 죄송합니다. 
인증 앱은 통신사와 본인 인증 업체에서 제공하는 서비스로 인증 앱 사용을 원치 않으시는 경우 인증앱 설치를 취소하시고 하단의  ""문자로인증하기 ""  버튼을 통해 인증 하실 수 있습니다. 본인 확인 또는 구비 서류를 제출하는 시설이 많아 현재는 각 시설 별도 가입 후 카드를 통합하여 사용하도록 서비스하고 있습니다. 각 시설 회원 가입 등 불편한 사항을 개선하여 편하게 사용하실 수 있도록 노력하겠습니다. 세종문화회관의 경우 유료 회원이 아니시더라도 서울시민카드 회원이시면 세종문화회관에서 제공하는 공연을 할인하여 관람하실 수 있습니다.
고맙습니다.",1,GINA KIM,25
